PK_Station	name_stat	location	region	x	y	PK_Sensor	descra	date	rain_24
89800	Locana-Bertodasco	Locana	PIEMONTE	376729	5032828	5781	5032827.808	20.06.2010	6.0
295300	Lomello	Lomello	LOMBARDIA	484117	4996490	2842	4996489.707	20.06.2010	10.0
297100	Misinto	Misinto	LOMBARDIA	505172	5056430	4938	5056429.973	20.06.2010	7.0
384500	Grabiasca	Gandellino	LOMBARDIA	572118	5090891	8781	5090891.052	20.06.2010	1.0
385400	Osnago	Osnago	LOMBARDIA	530287	5058223	8793	5058223.421	20.06.2010	1.0
464500	Molteno	Molteno	LOMBARDIA	523753	5069894	9763	5069894.275	20.06.2010	1.0
383600	Cortenova	Cortenova	LOMBARDIA	529485	5094862	8771	5094862.405	20.06.2010	0.1
235800	Este	Este	VENETO	708376	5011217	7287	5011217.355	20.06.2010	0.2
206900	Lillaz	Cogne	VALLE_D'AOSTA	373845	5050412	6931	5050412.053	20.06.2010	1.0
262100	Champorcher_Rifugio_Dondena	Champorcher	VALLE_D'AOSTA	386581	5052391	6980	5052390.79	20.06.2010	0.2
206800	La_Thuile	La_Thuile	VALLE_D'AOSTA	341496	5063811	6928	5063810.68	20.06.2010	0.4
238000	Riva_del_Garda	Riva_del_Garda	TRENTINO-ALTO_ADIGE	642676	5082270	869	5082269.567	20.06.2010	5.1
386200	San_Martino_Valmasino	NA	NA	548763	5120997	8803	5120996.99	20.06.2010	0.7
172300	Forno_Alpi_Graie	NA	NA	360553	5024763	7948	5024762.893	20.06.2010	0.2
207500	Brugneto_Diga	Torriglia	LIGURIA	516553	4930829	7486	4930829.267	20.06.2010	9.1
85800	Biella-Santuar_Oropa	Biella	PIEMONTE	421079	5053471	6853	5053471.122	20.06.2010	3.1
385500	Ponte_Cene	Cene	LOMBARDIA	564282	5070281	8794	5070281.352	20.06.2010	4.1
2460	Mignanego	Mignanego	LIGURIA	495277	4931732	-262	4931731.83	20.06.2010	6.1
244300	Usseglio-Malciausia	Usseglio	PIEMONTE	354718	5007600	6188	5007599.561	20.06.2010	1.0
84400	Locana-Lago_Valsoera	Locana	PIEMONTE	374553	5038150	7271	5038149.994	20.06.2010	5.1
384400	Goito	Goito	LOMBARDIA	630539	5013525	8780	5013524.776	20.06.2010	8.1
297200	Paisco_Loveno	Paisco_Loveno	LOMBARDIA	600279	5103598	5107	5103598.095	20.06.2010	7.0
206100	Arcisate	Arcisate	LOMBARDIA	491502	5076954	1463	5076954.201	20.06.2010	3.1
88200	Treiso	Treiso	PIEMONTE	428087	4948570	8110	4948570.433	20.06.2010	8.0
464700	Passo_Giov_	NA	NA	517391	4947494	9769	4947493.523	20.06.2010	9.0
165000	Poirino-Banna	Poirino	PIEMONTE	407948	4975070	5700	4975069.537	20.06.2010	5.0
84300	Sampeyre-P_Baracche	Sampeyre	PIEMONTE	350754	4934436	7257	4934435.669	20.06.2010	10.1
133700	Piverone	Viverone	PIEMONTE	425282	5029930	6049	5029930.135	20.06.2010	0.6
172700	Piedicavallo	Piedicavallo	PIEMONTE	418939	5060377	7037	5060376.774	20.06.2010	1.0
88100	Masserano	Masserano	PIEMONTE	441316	5045437	4341	5045437.314	20.06.2010	2.0
86800	Serole_Bric-Puschera	Serole	PIEMONTE	441186	4934130	8086	4934129.512	20.06.2010	5.0
186700	Mombaldone_Q_A_	Mombaldone	PIEMONTE	447369	4934843	6122	4934842.876	20.06.2010	3.0
65200	Alba	Alba	PIEMONTE	422982	4950674	7346	4950673.502	20.06.2010	8.0
173000	Trivero	Trivero	PIEMONTE	434233	5058530	7588	5058529.954	20.06.2010	0.6
205800	Cuveglio	Cuveglio	LOMBARDIA	480048	5083336	1460	5083335.714	20.06.2010	0.6
384900	Lavena_Ponte_Tresa	Lavena_Ponte_Tresa	LOMBARDIA	489283	5090512	8784	5090512.495	20.06.2010	0.1
297700	Varese	Varese	LOMBARDIA	486301	5075452	5111	5075452.494	20.06.2010	1.1
202300	Ponte_Vedano	Lozza	LOMBARDIA	489871	5068935	2529	5068934.983	20.06.2010	2.0
89400	Bobbio_Pellice-C_Barant	Bobbio_Pellice	PIEMONTE	345966	4960422	8073	4960422.135	20.06.2010	10.1
107500	Candia	Candia_Canavese	PIEMONTE	413723	5019178	5312	5019177.593	20.06.2010	3.1
111500	Borgofranco-M_Buono	Borgofranco_d'Ivrea	PIEMONTE	412021	5040691	7593	5040691.093	20.06.2010	1.0
385800	Ranzanico	Ranzanico	LOMBARDIA	572613	5070706	8798	5070706.479	20.06.2010	4.1
419300	Novara	Novara	PIEMONTE	471324	5032052	9066	5032051.63	20.06.2010	4.0
86200	Macugnaga-Passo_Moro	Macugnaga	PIEMONTE	421320	5094483	2	5094482.716	20.06.2010	0.4
243500	Alagna	Alagna_Valsesia	PIEMONTE	417325	5080555	8437	5080555.456	20.06.2010	7.0
85500	Albano_Vercellese	Albano_Vercellese	PIEMONTE	451834	5031737	4363	5031737.405	20.06.2010	5.0
88000	Varzo-S_Domenico	Varzo	PIEMONTE	437450	5121556	6865	5121555.842	20.06.2010	0.2
86300	Sauze_d'Oulx-L_Pilone	Sauze_d'Oulx	PIEMONTE	333640	4986196	6837	4986195.971	20.06.2010	0.2
85400	Verolengo-V_Vignoli	Verolengo	PIEMONTE	422356	5004044	7590	5004043.621	20.06.2010	0.6
88500	Cameri-Casc_Bornago	Cameri	PIEMONTE	476429	5043507	7600	5043506.896	20.06.2010	1.0
214700	Valle_Argentera	Sauze_di_Cesana	PIEMONTE	335698	4973359	6139	4973359.25	20.06.2010	3.0
87900	Borgomanero-Piovale	Borgomanero	PIEMONTE	458030	5061413	6871	5061413.166	20.06.2010	0.2
206400	Momo_Agogna	Novara	PIEMONTE	464908	5046283	9101	5046282.817	20.06.2010	0.6
132200	Ala_di_Stura	Ala_di_Stura	PIEMONTE	367081	5019532	7443	5019531.524	20.06.2010	5.0
406100	Torino_Giardini_Reali	Torino	PIEMONTE	396859	4991750	9001	4991750.456	20.06.2010	2.0
258400	Sparone	Sparone	PIEMONTE	386035	5029496	8600	5029496.114	20.06.2010	7.1
411900	Rosone	Locana	PIEMONTE	376389	5032145	9098	5032145.42	20.06.2010	4.1
84700	Pralormo-Lago_Spina	Pralormo	PIEMONTE	414289	4967171	5559	4967170.82	20.06.2010	8.0
64700	Stura_di_Lanzo	Lanzo_Torinese	PIEMONTE	381523	5013810	7348	5013809.705	20.06.2010	10.0
241800	Novara_Agogna_Q_A_	Novara	PIEMONTE	468276	5030866	8560	5030866.4	20.06.2010	5.0
100100	Avigliana-Grancia	Avigliana	PIEMONTE	373031	4994648	5702	4994648.064	20.06.2010	7.0
171900	Lago_Agnel	Ceresole_Reale	PIEMONTE	354410	5036784	7576	5036784.134	20.06.2010	0.2
133600	Coazze-Ruata	Coazze	PIEMONTE	361610	4988307	13	4988306.644	20.06.2010	8.0
90100	Bosio-Cap_Marcarolo	Bosio	PIEMONTE	481559	4934411	8106	4934411.112	20.06.2010	10.0
