Cruise,Station,Type,Datetime,Lat,Temp,Sal,Long
4900756,134_AD_US ARGO PROJE,C,2010-01-30T12:48:00.000,23.31,27.745,38.912,-60.4109992980957
6900712,50_AR_CORIOLIS,C,2010-01-30T22:27:00.000,41.76,13.494,38.516,10.0799999237061
6900503,73_AR_PROSAT,C,2010-01-30T00:05:00.000,37.34,14.765,37.864,1.85300004482269
6900453,261_AR_MFSTEP,C,2010-01-30T02:01:00.000,39.21,14.609,37.523,6.29099988937378
4900789,123_AR_US ARGO PROJE,C,2010-01-30T11:37:00.000,27.98,22.144,37.15,-49.0709991455078
4900819,101_AR_US ARGO PROJE,C,2010-01-30T11:54:00.000,19.6,25.737,36.971,-51.1710014343262
6900512,68_AD_BSH,C,2010-01-30T02:44:00.000,32.09,20.025,36.898,-20.128999710083
6900399,134_AD_OVIDE,C,2010-01-30T04:44:00.000,30.73,20.162,36.884,-33.2459983825684
4900785,123_AR_US ARGO PROJE,C,2010-01-30T12:47:00.000,25.55,23.703,36.79,-75.7880020141602
6900552,39_AR_BSH,C,2010-01-30T16:52:00.000,34.97,18.689,36.619,-70.0609970092773
4900729,146_AR_US ARGO PROJE,C,2010-01-30T12:43:00.000,34.24,18.63,36.589,-57.1080017089844
6900551,39_AR_BSH,C,2010-01-30T16:51:00.000,31.87,24.7,36.491,-76.7030029296875
4900506,156_AA_Canadian Argo,C,2010-01-30T17:31:00.000,33.7,17.812,36.467,-50.2140007019043
4900681,159_AD_Canadian Argo,C,2010-01-30T11:00:00.000,37.11,16.814,36.352,-38.2820014953613
4900745,144_AD_US ARGO PROJE,C,2010-01-30T11:40:00.000,25.73,24.168,36.316,-65.1729965209961
4900686,159_AD_US ARGO PROJE,C,2010-01-30T12:42:00.000,33.19,17.905,36.271,-29.1070003509521
6900465,88_AD_SHOM,C,2010-01-30T21:28:00.000,38.13,16.029,36.249,-15.5659999847412
4900504,152_AA_Canadian Argo,C,2010-01-30T23:12:00.000,43.54,15.74,36.205,-42.0849990844727
