YEAR;TOTAL;SOLID;FLGAS;SO;NO;CO;CH;ORG
1992;28207,6;5609,1;22598,5;8171,3;2718,1;6813,0;2583,9;1608,9
1993;24788,3;4746,1;20042,2;7217,9;2462,0;5894,0;2386,7;1604,8
1994;21929,1;3870,2;18058,9;6512,5;2085,2;5140,8;2609,3;1238,0
1995;21269,6;3600,4;17669,2;6424,8;1996,6;5005,6;2735,7;1110,9
1996;20274,1;3233,4;17040,8;6156,7;1920,4;4876,6;2531,3;1161,8
1997;19332,9;3041,8;16291,1;5991,1;1799,7;4653,0;2554,2;989,9
1998;18661,8;2864,4;15797,4;5679,3;1753,3;4562,9;2571,6;921,9
1999;18539,7;2768,4;15771,2;5505,5;1716,4;4663,9;2767,7;831,0
2000;18819,8;2972,2;15847,6;5407,1;1698,4;4997,9;2685,4;850,4
2001;19123,6;2973,2;16150,4;5254,0;1678,9;5148,1;2723,6;1130,8
2002;19481,2;2882,8;16598,4;4987,4;1646,2;5857,5;2733,2;1164,8
2003;19829,4;2868,0;16961,4;4959,6;1661,8;5929,4;2834,1;1356,5
2004;20491,3;2855,7;17635,6;4768,4;1628,9;6774,4;2786,8;1448,2
2005;20425,4;2802,0;17623,3;4675,0;1666,8;6521,2;2868,1;1650,6
2006;20568,4;2842,8;17725,6;4764,7;1703,1;6338,3;2815,0;1863,1
2007;20636,9;2743,4;17893,5;4573,1;1732,8;6448,4;2992,4;1908,6
2008;20103,3;2704,2;17399,0;4534,1;1816,6;6091,5;3217,5;1532,0
2009;19021,2;2341,1;16680,1;4370,6;1730,5;5500,5;3347,3;1546,0
2010;19115,6;2381,2;16734,4;4385,3;1855,2;5565,1;3135,9;1605,3
2011;19162,3;2283,1;16879,2;4342,7;1880,0;5753,5;3105,8;1622,8
2012;19630,3;2249,4;17380,9;4340,9;1937,5;6001,8;3293,3;1638,2
2013;18446,5;2008,5;16438,0;4173,3;1874,2;5350,9;3424,8;1455,8
2014;17451,9;1922,2;15529,7;4036,3;1805,5;4938,4;3251,0;1340,0
2015;17295,7;1820,4;15475,3;4099,4;1787,4;4799,6;3323,0;1294,5
2016;17349,3;1723,9;15625,4;4011,4;1830,1;4907,1;3406,1;1304,6
