Region,year,ratio,value,harvest
Ставропольский край,2010,181.8181818181818,0.4,2.2
Ростовская область,2010,148.5148514851485,1.5,10.1
Магаданская область,2010,118.18181818181819,2.6,22
Сахалинская область,2010,63.75502008032129,12.7,199.2
Республика Саха (Якутия),2010,63.25662558621442,58,916.9
Республика Тыва,2010,61.79775280898876,4.4,71.2
Мурманская область,2010,52.17391304347826,3,57.5
Волгоградская область,2010,48.387096774193544,1.8,37.2
Камчатский  край,2010,38.86397608370702,5.2,133.8
Амурская область,2010,38.531161106801136,29.8,773.4
Самарская область,2010,36.36363636363637,1.2,33
Оренбургская область,2010,34.26791277258567,1.1,32.1
Забайкальский край,2010,28.977378949336327,15.5,534.9
Московская область,2010,21.445591739475773,2.7,125.9
Республика Башкортостан,2010,21.060997417047485,10.6,503.3
Республика Бурятия,2010,20.956123117223314,32,1527
Республика Алтай,2010,19.123997532387417,3.1,162.1
Саратовская область,2010,15.968063872255488,1.6,100.2
Тюменская область,2010,15.44041450777202,29.8,1930
Воронежская область,2010,14.945652173913045,1.1,73.6
Курская область,2010,13.157894736842104,0.3,22.8
Республика Хакасия,2010,12.72931486334706,3.4,267.1
Тульская область,2010,12.345679012345679,0.1,8.1
Ивановская область,2010,12.279355333844972,1.6,130.3
Хабаровский край,2010,11.796336750126029,70.2,5951
Новосибирская область,2010,11.166253101736972,9,806
Астраханская область,2010,11.11111111111111,0.1,9
Псковская область,2010,10.554885404101325,3.5,331.6
Свердловская область,2010,10.003907776475186,25.6,2559
Кемеровская область,2010,9.378663540445487,3.2,341.2
Рязанская область,2010,8.807339449541285,2.4,272.5
Ярославская область,2010,8.80410858400587,3.6,408.9
Смоленская область,2010,8.618213157138753,3,348.1
Костромская область,2010,8.4,25.2,3000
Калужская область,2010,8.38803792851933,2.3,274.2
Республика Татарстан,2010,7.993268826251578,1.9,237.7
Пермский край,2010,7.9403606102635225,22.9,2884
Томская область,2010,7.698675496688741,9.3,1208
Кабардино-Балкарская Республика,2010,6.5359477124183005,0.1,15.3
Челябинская область,2010,6.411337944997468,3.8,592.7
Удмуртская Республика,2010,6.396588486140725,6.3,984.9
Пензенская область,2010,6.361323155216285,2.5,393
Тверская область,2010,5.936319481921209,11,1853
Республика Коми,2010,5.769230769230769,33.3,5772
Нижегородская область,2010,5.588822355289421,8.4,1503
Курганская область,2010,5.30932594644506,4.6,866.4
Омская область,2010,5.083130361114053,4.8,944.3
Владимирская область,2010,4.916512059369202,5.3,1078
Новгородская область,2010,4.843444227005871,9.9,2044
Кировская область,2010,4.784688995215311,26,5434
Ленинградская область,2010,4.671140939597316,17.4,3725
Архангельская область,2010,4.651162790697675,39.4,8471
Иркутская область,2010,4.587731811697575,80.4,17525
Брянская область,2010,4.558775643112992,2.8,614.2
Республика Мордовия,2010,4.48796409628723,1.1,245.1
Приморский край,2010,4.3848659483838635,17.5,3991
Республика Карелия,2010,4.331279449075752,23.9,5518
Алтайский край,2010,4.083926564256275,10.9,2669
Краснодарский край,2010,4.0650406504065035,1.1,270.6
Красноярский край,2010,3.80523413838627,49,12877
Белгородская область,2010,3.2894736842105265,0.1,30.4
Вологодская область,2010,3.016718034930419,32.3,10707
Республика Марий Эл,2010,2.8827037773359843,2.9,1006
Карачаево-Черкесская Республика,2010,2.743484224965706,0.2,72.9
Чувашская Республика,2010,2.508061626657112,0.7,279.1
Липецкая область,2010,2.4600246002460024,0.4,162.6
Тамбовская область,2010,2.388059701492537,0.8,335
Ульяновская область,2010,2.351005054660867,2,850.7
Орловская область,2010,0,0,2.9
Республика Адыгея,2010,0,0,61
Республика Крым,2010,NA,NA,NA
Республика Северная Осетия – Алания,2010,NA,NA,5.3
Еврейская автономная область,2010,NA,NA,75.9
Ставропольский край,2011,400,0.6,1.5
Магаданская область,2011,93.1899641577061,2.6,27.9
Ростовская область,2011,84.6774193548387,2.1,24.8
Республика Саха (Якутия),2011,66.0894344585708,60.3,912.4
Сахалинская область,2011,56.97356426618049,12.5,219.4
Республика Тыва,2011,56.41025641025641,4.4,78
Амурская область,2011,40.46751288173935,32.2,795.7
Рязанская область,2011,36.56164916374951,9.4,257.1
Мурманская область,2011,35.647279549718576,1.9,53.3
Волгоградская область,2011,33.61344537815126,2,59.5
Еврейская автономная область,2011,33.419023136246786,2.6,77.8
Орловская область,2011,33.333333333333336,0.1,3
Воронежская область,2011,25.899280575539567,1.8,69.5
Забайкальский край,2011,23.789579494052607,14.2,596.9
Саратовская область,2011,22.962112514351322,2,87.1
Республика Хакасия,2011,21.197007481296758,3.4,160.4
Республика Алтай,2011,19.218846869187846,3.1,161.3
Республика Башкортостан,2011,18.776824034334762,10.5,559.2
Республика Бурятия,2011,18.326458456098997,31.1,1697
Чувашская Республика,2011,15.738498789346249,1.3,82.6
Ивановская область,2011,15.691868758915836,2.2,140.2
Новосибирская область,2011,14.384265375018348,9.8,681.3
Тюменская область,2011,14.04833836858006,27.9,1986
Ярославская область,2011,13.360053440213761,4,299.4
Московская область,2011,12.849584278155705,3.4,264.6
Псковская область,2011,12.519561815336463,3.2,255.6
Свердловская область,2011,11.933797909407666,27.4,2296
Хабаровский край,2011,11.00080064051241,68.7,6245
Кемеровская область,2011,10.493413708417059,4.7,447.9
Кабардино-Балкарская Республика,2011,10.204081632653061,0.1,9.8
Липецкая область,2011,10.071942446043165,1.4,139
Тульская область,2011,9.615384615384615,0.1,10.4
Калужская область,2011,9.43009430094301,2.3,243.9
Республика Татарстан,2011,8.883738895326381,2.3,258.9
Пермский край,2011,8.51063829787234,28,3290
Нижегородская область,2011,8.34542815674891,11.5,1378
Челябинская область,2011,7.82122905027933,3.5,447.5
Белгородская область,2011,7.575757575757575,0.3,39.6
Курская область,2011,7.220216606498195,0.4,55.4
Удмуртская Республика,2011,7.04656862745098,6.9,979.2
Смоленская область,2011,7.004882190617703,3.3,471.1
Республика Коми,2011,6.689505950234403,37.1,5546
Пензенская область,2011,6.488644871474919,2.6,400.7
Тверская область,2011,6.379406827084499,11.4,1787
Курганская область,2011,6.350166313879649,4.2,661.4
Томская область,2011,5.982905982905983,10.5,1755
Республика Мордовия,2011,5.768438401318501,1.4,242.7
Омская область,2011,5.484653517561439,5.2,948.1
Архангельская область,2011,5.2631578947368425,48.5,9215
Кировская область,2011,5.089657670711827,28.1,5521
Брянская область,2011,4.868549172346641,3,616.2
Приморский край,2011,4.847576211894053,19.4,4002
Новгородская область,2011,4.6581196581196584,10.9,2340
Иркутская область,2011,4.366392655065656,81.8,18734
Алтайский край,2011,4.328310355883296,13.5,3119
Владимирская область,2011,4.269662921348314,5.7,1335
Красноярский край,2011,4.1999254009697875,56.3,13405
Республика Адыгея,2011,4.158004158004158,0.2,48.1
Вологодская область,2011,3.9478385137549123,44.2,11196
Республика Карелия,2011,3.514659131049099,19.9,5662
Костромская область,2011,3.3013205282112845,11,3332
Тамбовская область,2011,3.027245206861756,1.2,396.4
Ульяновская область,2011,3.026634382566586,3,991.2
Краснодарский край,2011,2.678272514228323,0.8,298.7
Республика Марий Эл,2011,2.6525198938992043,3,1131
Карачаево-Черкесская Республика,2011,2.570694087403599,0.2,77.8
Астраханская область,2011,0,0,8.3
Ленинградская область,2011,NA,NA,3795
Республика Крым,2011,NA,NA,NA
Республика Северная Осетия – Алания,2011,NA,NA,5.5
Оренбургская область,2011,NA,NA,32.9
Самарская область,2011,NA,NA,57
Камчатский  край,2011,NA,NA,125.1
Ставропольский край,2012,500,0.4,0.8
Ростовская область,2012,208.33333333333331,1.5,7.2
Волгоградская область,2012,142.85714285714286,1.3,9.1
Магаданская область,2012,104.08921933085503,2.8,26.9
Республика Саха (Якутия),2012,56.620886239958544,43.7,771.8
Амурская область,2012,55.85106382978723,33.6,601.6
Орловская область,2012,55.55555555555556,0.1,1.8
Республика Тыва,2012,49.20049200492005,4,81.3
Воронежская область,2012,43.73177842565598,3,68.6
Оренбургская область,2012,35.714285714285715,1,28
Самарская область,2012,33.333333333333336,1.2,36
Рязанская область,2012,30.52140737600678,7.2,235.9
Липецкая область,2012,30.181086519114686,1.5,49.7
Забайкальский край,2012,29.541169076052796,14.1,477.3
Чувашская Республика,2012,25.821596244131456,1.1,42.6
Республика Хакасия,2012,25.78397212543554,3.7,143.5
Кабардино-Балкарская Республика,2012,23.80952380952381,0.1,4.2
Республика Бурятия,2012,19.439475253428743,32.6,1677
Республика Алтай,2012,19.204389574759944,2.8,145.8
Сахалинская область,2012,18.969072164948454,4.6,242.5
Еврейская автономная область,2012,17.1939477303989,2.5,145.4
Астраханская область,2012,16.129032258064516,0.1,6.2
Саратовская область,2012,15.806111696522654,1.5,94.9
Ивановская область,2012,15.492253873063468,3.1,200.1
Республика Башкортостан,2012,15.21077792264233,10.5,690.3
Тюменская область,2012,13.552068473609129,28.5,2103
Калужская область,2012,13.041210224308816,2.5,191.7
Свердловская область,2012,12.6953125,26,2048
Ярославская область,2012,12.578616352201257,3.4,270.3
Курская область,2012,12.072434607645874,0.6,49.7
Псковская область,2012,11.958762886597938,2.9,242.5
Томская область,2012,11.407315561066335,18.4,1613
Белгородская область,2012,10.830324909747294,0.3,27.7
Хабаровский край,2012,10.602713789839067,67.2,6338
Новосибирская область,2012,9.870550161812298,6.1,618
Челябинская область,2012,9.726132582544151,3.8,390.7
Республика Мордовия,2012,9.557945041816009,1.6,167.4
Пермский край,2012,9.121851599727705,26.8,2938
Кемеровская область,2012,9.059089973234506,4.4,485.7
Нижегородская область,2012,8.973322554567503,11.1,1237
Республика Татарстан,2012,8.781977854142804,2.3,261.9
Смоленская область,2012,8.053055423969683,3.4,422.2
Пензенская область,2012,7.774258566081198,2.7,347.3
Республика Коми,2012,7.456626061277224,40.4,5418
Курганская область,2012,6.799493991144845,4.3,632.4
Тверская область,2012,6.066838046272494,11.8,1945
Омская область,2012,5.7956777996070725,5.9,1018
Удмуртская Республика,2012,5.621033544877607,6.2,1103
Архангельская область,2012,5.341506129597198,48.8,9136
Алтайский край,2012,5.088495575221239,13.8,2712
Новгородская область,2012,4.997686256362795,10.8,2161
Владимирская область,2012,4.854368932038835,6,1236
Иркутская область,2012,4.811305774625523,90.9,18893
Тульская область,2012,4.651162790697675,0.1,21.5
Ленинградская область,2012,4.561216324353161,17.1,3749
Красноярский край,2012,4.237603152181994,57,13451
Костромская область,2012,4.218805863425098,11.8,2797
Республика Адыгея,2012,4.0983606557377055,0.2,48.8
Приморский край,2012,4.045179931704754,15.4,3807
Кировская область,2012,4.0050413107407925,28.6,7141
Ульяновская область,2012,3.90969857485181,3.1,792.9
Брянская область,2012,3.885853066180935,3.2,823.5
Вологодская область,2012,3.7714484800975523,43.3,11481
Московская область,2012,3.6752422318743734,1.1,299.3
Республика Карелия,2012,3.514613392526822,19,5406
Тамбовская область,2012,3.202759300320276,1.3,405.9
Республика Марий Эл,2012,2.783109404990403,2.9,1042
Краснодарский край,2012,2.515090543259557,1,397.6
Карачаево-Черкесская Республика,2012,2.1881838074398248,0.2,91.4
Мурманская область,2012,NA,NA,51.4
Республика Крым,2012,NA,NA,NA
Республика Северная Осетия – Алания,2012,NA,NA,4.8
Камчатский  край,2012,NA,NA,126
Ставропольский край,2013,333.3333333333333,0.3,0.9
Ростовская область,2013,192.30769230769232,1.5,7.8
Самарская область,2013,126.86567164179104,1.7,13.4
Магаданская область,2013,114.50381679389314,3,26.2
Амурская область,2013,73.12049433573635,35.5,485.5
Республика Саха (Якутия),2013,64.87358795051102,60.3,929.5
Московская область,2013,57.62081784386618,6.2,107.6
Воронежская область,2013,56.36743215031316,2.7,47.9
Республика Северная Осетия – Алания,2013,43.47826086956522,0.1,2.3
Оренбургская область,2013,41.84100418410042,1,23.9
Забайкальский край,2013,41.21816749803098,15.7,380.9
Республика Хакасия,2013,40.94827586206897,3.8,92.8
Липецкая область,2013,32.863849765258216,1.4,42.6
Рязанская область,2013,26.428571428571427,7.4,280
Мурманская область,2013,25.974025974025974,1.6,61.6
Саратовская область,2013,23.917995444191344,2.1,87.8
Республика Тыва,2013,20.618556701030926,1.4,67.9
Свердловская область,2013,20.366132723112127,26.7,1311
Еврейская автономная область,2013,20.335985853227232,2.3,113.1
Ивановская область,2013,20.120724346076457,4,198.8
Кабардино-Балкарская Республика,2013,19.607843137254903,0.1,5.1
Ярославская область,2013,18.740239458615306,3.6,192.1
Республика Бурятия,2013,17.901600474214582,30.2,1687
Томская область,2013,17.433234421364986,23.5,1348
