Год;Всего;Балтийское;Черное;Азовское;Каспийское;Карское;Белое;Прочие
1993;27,2;2,5;0,4;4,3;12,1;5,3;1,0;1,6
1994;24,6;2,3;0,4;3,2;11,0;5,0;0,9;1,8
1995;24,5;2,3;0,4;3,5;10,4;5,2;0,9;1,8
1996;22,4;2,2;0,3;3,1;9,8;4,7;0,8;1,5
1997;23,0;2,2;0,3;3,8;9,8;4,4;0,8;1,7
1998;22,0;2,2;0,3;3,2;9,5;4,2;0,8;1,8
1999;20,7;2,2;0,3;2,5;9,1;4,1;0,8;1,7
2000;20,3;2,2;0,3;2,0;9,2;4,2;0,9;1,5
2001;19,8;2,1;0,3;1,9;8,9;4,2;0,9;1,5
2002;19,8;2,0;0,2;2,0;9,2;4,1;0,8;1,5
2003;19,0;2,0;0,2;2,1;8,4;4,0;0,8;1,5
2004;18,5;2,0;0,2;2,1;8,3;3,8;0,8;1,3
2005;17,7;2,0;0,2;1,6;8,0;3,8;0,8;1,3
2006;17,5;1,9;0,2;1,7;7,8;3,8;0,8;1,3
2007;17,2;1,9;0,2;1,7;7,4;3,8;0,8;1,4
2008;17,1;1,9;0,2;1,6;7,5;3,9;0,8;1,2
2009;15,9;1,8;0,2;1,5;6,8;3,5;0,7;1,4
2010;16,5;2,0;0,2;1,6;7,3;3,3;0,7;1,4
2011;16,0;1,9;0,2;1,6;7,1;3,2;0,7;1,3
2012;15,7;1,8;0,2;1,6;7,0;3,0;0,7;1,4
2013;15,2;1,8;0,2;1,6;6,9;3,0;0,6;1,1
2014;14,8;1,7;0,2;1,5;6,4;3,2;0,6;1,2
